Component,Source,Link (URL),Price,Extra Costs (Shipping),Already Have?,Add
M4 x 50mm Bolts + Nuts: 2 units (Axles for the 4mm Y-idlers).,Aliexpress,https://www.aliexpress.us/item/3256807078530561.html?spm=a2g0o.productlist.main.6.4ab7NdsRNdsRhf&algo_pvid=08980099-ea51-4517-82fb-9970c1758886&algo_exp_id=08980099-ea51-4517-82fb-9970c1758886-5&pdp_ext_f=%7B%22order%22%3A%2217720%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.28%211.28%21%21%211.28%211.28%21%402101f70717737220222731552eb0ce%2112000039998989023%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=rNx244rIT3Y5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007264845313%7C_p_origin_prod%3A,2.42,0.22,No,
"Zip Ties: 1 pack (Small 4-inch) for X-axis ""Pull-and-Zip"" tensioning.",Aliexpress,https://www.aliexpress.us/item/2255800624971706.html?spm=a2g0o.productlist.main.11.40937cd4JGn4Ur&algo_pvid=3709794e-cf95-4aea-bcc7-cc52802575e1&algo_exp_id=3709794e-cf95-4aea-bcc7-cc52802575e1-10&pdp_ext_f=%7B%22order%22%3A%2212004%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.12%211.10%21%21%217.69%217.56%21%402101eede17737222116223350e2b61%2110000008121106255%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=eh3xcUqZ9iyr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000811286458%7C_p_origin_prod%3A,1.29,0.12,No,
4. Stepper Motors (6 Total),,,,,,
"Standard NEMA 17 (1.8°, 40mm depth): 3 units (2 for Y-axis).",Aliexpress,https://www.aliexpress.us/item/3256808273084374.html?spm=a2g0o.productlist.main.2.1421IQ9MIQ9ME7&algo_pvid=1150d930-f3b6-4373-896f-1a7c0a2f8428&algo_exp_id=1150d930-f3b6-4373-896f-1a7c0a2f8428-1&pdp_ext_f=%7B%22order%22%3A%223238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.47%217.00%21%21%217.47%217.00%21%402101e2b217737223289412470e0707%2112000045225398666%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=LLiPqbFsH0LI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008459399126%7C_p_origin_prod%3Ahttps://www.aliexpress.us/item/3256808273084374.html?spm=a2g0o.productlist.main.2.1421IQ9MIQ9ME7&algo_pvid=1150d930-f3b6-4373-896f-1a7c0a2f8428&algo_exp_id=1150d930-f3b6-4373-896f-1a7c0a2f8428-1&pdp_ext_f=%7B%22order%22%3A%223238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.47%217.00%21%21%217.47%217.00%21%402101e2b217737223289412470e0707%2112000045225398666%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=LLiPqbFsH0LI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008459399126%7C_p_origin_prod%3A,15.28,,No,
"Pancake NEMA 17 (1.8°, 25mm depth): 3 units (2 for Z-axis, 1 for x 1 for Extruder).",Aliexpress,"https://www.aliexpress.us/item/3256803688622110.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.60b5PeYcPeYcam&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=772908df-311e-4b25-8e78-f463a7398ed4&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:772908df-311e-4b25-8e78-f463a7398ed4,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%227740%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%215.52%215.12%21%21%215.52%215.12%21%402103119c17737245694595024e7754%2112000036219123370%21rec%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005003874936862%7C_p_origin_prod%3A",15.36,1.41,no,
5. Electronics & Power (24V System),,,,,,
BigTreeTech SKR Mini E3 V3.0: 1 unit (Controller).,Aliexpress,https://www.aliexpress.us/item/3256805657763532.html?src=google&pdp_npi=4%40dis%21USD%2128.71%2124.98%21%21%21%21%21%40%2112000038625200480%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk&plac&mtctp&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&albagn=888888&ds_e_adid&ds_e_matchtype&ds_e_device=c&ds_e_network=x&ds_e_product_group_id&ds_e_product_id=en3256805657763532&ds_e_product_merchant_id=109259083&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id&ds_url_v=2&albcp=19678427463&albag&isSmbAutoCall=false&needSmbHouyi=false&gatewayAdapt=glo2usa,28.26,2.58,no,
"24V 350W Switching Power Supply: 1 unit (Industrial ""Silver Box"").",Aliexpress,https://www.aliexpress.us/item/3256807108179820.html?spm=a2g0o.productlist.main.2.423d261edw67Vt&algo_pvid=28c0d02a-4e50-40e8-bc96-4a8c55e04d6c&algo_exp_id=28c0d02a-4e50-40e8-bc96-4a8c55e04d6c-1&pdp_ext_f=%7B%22order%22%3A%222348%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2121.67%2112.35%21%21%21148.29%2184.53%21%402103129017737236761523726e1502%2112000044238944995%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=1f6gKCeOdmRa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007294494572%7C_p_origin_prod%3A,18.22,1.66,NO!,
IEC320 C14 Power Socket: 1 unit (Fused with Rocker Switch).,Aliexpress,https://www.aliexpress.us/item/3256802824106295.html?spm=a2g0o.productlist.main.1.f299yOTMyOTMF9&algo_pvid=bcbf6a24-34fc-4364-ab0f-81176bcb7074&algo_exp_id=bcbf6a24-34fc-4364-ab0f-81176bcb7074-0&pdp_ext_f=%7B%22order%22%3A%222454%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.27%212.13%21%21%212.27%212.13%21%40210328db17737239669493079e6dec%2112000023216555368%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=vfikPqsNiopU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003010421047%7C_p_origin_prod%3A,2.13,0.19,NEIN,
USB Data Cable: 1 unit (Micro-USB to USB-A to link Pi and SKR).,Aliexpress,"https://www.aliexpress.us/item/3256807319678668.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.4758eGjleGjlaX&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=143dcf18-9ae8-4bfc-93ec-5432b4dbc601&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:143dcf18-9ae8-4bfc-93ec-5432b4dbc601,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%225388%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.48%211.44%21%21%211.48%211.44%21%402103119c17737242872758006e7754%2112000041058829628%21rec%21US%213031952535%21XZ%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007505993420%7C_p_origin_prod%3A",1.44,0.13,nawr,
